dateTime,artist,song
6/12/2021 20:46:00,I DONT KNOW HOW BUT THEY FOUND ME,Do It All The Time
6/12/2021 20:43:00,Summer Salt,Revvin' my CJ7
6/12/2021 20:40:00,Conan Gray,Idle Town
6/12/2021 20:37:00,Clairo,Hello?
6/12/2021 20:34:00,Wallows,Scrawny
6/12/2021 17:47:00,Still Woozy,Rocky
6/11/2021 17:00:00,Rex Orange County,4 Seasons
6/11/2021 15:29:00,I DONT KNOW HOW BUT THEY FOUND ME,Do It All The Time
6/11/2021 15:24:00,Goth Babe,Sometimes
6/11/2021 15:20:00,Wallows,Remember When
6/11/2021 15:18:00,Still Woozy,BS
6/11/2021 15:15:00,Wallows,OK
6/11/2021 15:12:00,Wallows,OK - with Remi Wolf & Solomonophonic
6/11/2021 15:10:00,Wallows,Another Story
6/11/2021 15:07:00,Wallows,Quarterback
6/11/2021 15:05:00,Wallows,On Time
6/11/2021 14:25:00,Wallows,Wish Me Luck
6/11/2021 14:23:00,Wallows,Talk Like That
6/11/2021 14:20:00,Wallows,Coastlines
6/11/2021 14:18:00,Wallows,Nobody Gets Me (Like You)
6/11/2021 14:15:00,Wallows,Dig What You Dug
6/11/2021 14:13:00,Wallows,Virtual Aerobics
6/11/2021 14:10:00,Ansel Elgort,You Can Count on Me
6/11/2021 14:07:00,Ansel Elgort,All I Think About Is You
6/11/2021 12:08:00,Ansel Elgort,Thief
6/11/2021 12:07:00,David Teie,Fostog's Touch
6/11/2021 0:08:00,Lou Barlow,The Ballad of Daykitty
6/11/2021 0:06:00,Wallows,On Time
6/11/2021 0:04:00,Hakan Meldic,Rock a Bye Baby
6/10/2021 22:16:00,Chris Lake,Turn off the Lights - Cages Remix
6/10/2021 22:16:00,SAFARIO,Pressure Love
6/9/2021 22:49:00,Strays Don't Sleep,For Blue Skies
6/9/2021 22:46:00,Between Friends,suburban wonderland
6/9/2021 22:41:00,mehro,Perfume
6/9/2021 22:39:00,Sufjan Stevens,Visions of Gideon
6/9/2021 22:33:00,Between Friends,affection
6/9/2021 19:52:00,SZA,Drew Barrymore
6/9/2021 19:49:00,Pinback,Good To Sea
6/9/2021 19:46:00,Arctic Monkeys,Do Me a Favour
6/9/2021 19:41:00,Arctic Monkeys,Fluorescent Adolescent
6/7/2021 14:26:00,Wallows,On Time
6/7/2021 14:25:00,Wallows,Wish Me Luck
6/7/2021 14:25:00,Wallows,Talk Like That
6/7/2021 14:25:00,Wallows,Coastlines
6/7/2021 14:25:00,Wallows,Nobody Gets Me (Like You)
6/7/2021 14:25:00,Wallows,Dig What You Dug
6/7/2021 14:24:00,Wallows,Virtual Aerobics
6/7/2021 13:11:00,Sir Sly,Astronaut
6/7/2021 12:20:00,The Backseat Lovers,Kilby Girl
6/7/2021 2:40:00,OK Go,Here It Goes Again
6/7/2021 2:39:00,Wallows,Wish Me Luck
6/7/2021 2:39:00,Wallows,Talk Like That
6/7/2021 2:39:00,Wallows,Talk Like That
6/7/2021 2:39:00,Wallows,Talk Like That
6/7/2021 2:39:00,Wallows,Coastlines
6/7/2021 2:39:00,Wallows,Nobody Gets Me (Like You)
6/7/2021 2:38:00,Wallows,Dig What You Dug
6/7/2021 2:38:00,Wallows,Dig What You Dug
6/7/2021 2:38:00,Wallows,Dig What You Dug
6/7/2021 2:38:00,Wallows,Dig What You Dug
6/7/2021 2:38:00,Wallows,Virtual Aerobics
6/7/2021 2:38:00,Wallows,Virtual Aerobics
6/7/2021 2:37:00,Wallows,OK
6/7/2021 2:37:00,Wallows,OK - with Remi Wolf & Solomonophonic
6/7/2021 2:37:00,Wallows,Another Story
6/7/2021 2:37:00,Wallows,On Time
6/7/2021 2:37:00,Wallows,Quarterback
6/7/2021 2:37:00,Wallows,On Time
6/7/2021 2:36:00,ODESZA,Intro
6/7/2021 2:35:00,ODESZA,Intro
6/6/2021 23:02:00,Alabama Shakes,Miss You
6/6/2021 21:53:00,Alabama Shakes,Sound & Color
6/6/2021 21:44:00,Alabama Shakes,Sound & Color
6/6/2021 19:59:00,The Cure,Pictures of You
6/6/2021 17:24:00,The Cure,Pictures of You
6/6/2021 15:13:00,Baby Lullaby,Sleeping Music
6/5/2021 1:02:00,Baby Lullaby,Baby Sleep
6/5/2021 0:49:00,twenty one pilots,Choker
6/5/2021 0:46:00,Rudy Mancuso,monday
6/5/2021 0:35:00,Hans Zimmer,Opening Time
6/4/2021 21:17:00,I Monster,Daydream In Blue
6/4/2021 20:34:00,Kevin Macleod,Local Forecast - Elevator
6/4/2021 20:28:00,Pixies,Where Is My Mind? - Remastered
6/4/2021 20:07:00,I Monster,Daydream In Blue
6/1/2021 21:11:00,Wallows,Uncomfortable
6/1/2021 21:09:00,Wallows,Are You Bored Yet? (feat. Clairo)
6/1/2021 21:05:00,Wallows,Ground
6/1/2021 21:01:00,Wallows,Wish Me Luck
6/1/2021 20:57:00,Wallows,Ice Cold Pool
6/1/2021 20:55:00,Wallows,Only Friend
6/1/2021 20:50:00,Wallows,Worlds Apart
6/1/2021 20:46:00,Wallows,Sun Tan
6/1/2021 20:44:00,Wallows,Treacherous Doctor - Live from Henson Studios
6/1/2021 20:35:00,In Flames,Only for the Weak
6/1/2021 20:31:00,Lamb of God,Laid to Rest
6/1/2021 20:27:00,Children of Bodom,Are You Dead Yet?
5/31/2021 1:00:00,Matt Maltese,As the World Caves in
5/30/2021 16:15:00,Sir Sly,Astronaut
5/30/2021 16:11:00,Capital Cities,Love Away
5/30/2021 16:06:00,fun.,Why Am I the One
5/30/2021 16:03:00,Foxygen,Shuggie
5/30/2021 15:59:00,half•alive,ok ok?
5/30/2021 15:56:00,Your Neighbors,Chicken
5/30/2021 15:52:00,Broken Bells,The High Road
5/30/2021 15:49:00,Bombay Bicycle Club,Luna
5/30/2021 15:45:00,alt-J,Dissolve Me
5/30/2021 15:41:00,Glass Animals,Season 2 Episode 3
5/30/2021 15:38:00,Goth Babe,Colours
5/30/2021 15:34:00,Cage the Elephant,Cigarette Daydreams
5/30/2021 10:53:00,Xilo,Aesthetic
5/30/2021 10:47:00,Gym Class Heroes,Cupid's Chokehold / Breakfast in America
5/30/2021 10:44:00,Ladytron,Seventeen
5/30/2021 10:39:00,The Neighbourhood,Daddy Issues
5/30/2021 10:35:00,The Neighbourhood,Sweater Weather
5/30/2021 10:32:00,Olivia Rodrigo,good 4 u
5/30/2021 10:30:00,Lord Huron,Love Me Like You Used To
5/30/2021 10:26:00,Wallows,Drunk on Halloween
5/30/2021 1:08:00,Miguel,waves - Tame Impala Remix
5/30/2021 1:05:00,Wallice,Punching Bag
5/30/2021 1:02:00,Banes World,You Say I'm in Love
5/30/2021 0:58:00,The Postal Service,Such Great Heights - Remastered
5/30/2021 0:50:00,Olivia Rodrigo,good 4 u
5/29/2021 21:25:00,Lord Huron,Love Me Like You Used To
5/29/2021 17:42:00,Pixies,Is She Weird
5/29/2021 17:39:00,alt-J,Dancing in the Moonlight (Its Caught Me in Its Spotlight) - Recorded at Spotify Studios NYC
5/29/2021 17:34:00,Beach House,Space Song
5/29/2021 17:29:00,Coldplay,Paradise
5/29/2021 17:26:00,Bruno Mars,Talking to the Moon
5/29/2021 17:22:00,Phantogram,Black Out Days - Future Islands Remix
5/29/2021 17:16:00,Joy Again,Looking Out For You
5/29/2021 17:13:00,Blossoms,Honey Sweet
5/29/2021 14:45:00,Peach Pit,Shampoo Bottles
5/29/2021 14:45:00,Sigrid,Mirror
5/29/2021 14:42:00,Olivia Rodrigo,deja vu
5/29/2021 14:37:00,Harry Styles,Golden
5/29/2021 14:37:00,Seb,seaside_demo
5/29/2021 14:33:00,Hozier,Work Song
5/29/2021 14:29:00,Bombay Bicycle Club,Luna
5/29/2021 14:26:00,Daniel Caesar,Japanese Denim
5/29/2021 14:22:00,Joji,SLOW DANCING IN THE DARK
5/29/2021 14:18:00,Castlebeat,80's High School
5/29/2021 14:11:00,Gus Dapperton,Palms (with Channel Tres)
5/29/2021 14:07:00,Lana Del Rey,Diet Mountain Dew
5/29/2021 14:04:00,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers)
5/29/2021 14:01:00,twenty one pilots,Shy Away
5/29/2021 13:59:00,Two Door Cinema Club,Something Good Can Work
5/29/2021 13:53:00,Edward Sharpe & The Magnetic Zeros,Home
